file_name,url,source_query,title,score,matched_terms,sha256
040-vistos-7488240f.pdf,https://www.conjur.com.br/wp-content/uploads/2025/09/Sentenca-Copape-indenizacao-a-Ricardo-Magro-2set2025.pdf,"""petição inicial"" ""danos morais"" ""julgo parcialmente procedente"" filetype:pdf",Vistos.,22,dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; procedencia do pedido; procedência do pedido; sentenca de procedencia; sentença de procedência,7488240fd61693f8877c4b660af994c2e37d8532b6f7f1a3e264865916ba2984
041-diario-da-justica-ff093424.pdf,https://www.tjpi.jus.br/diarioeletronico/public/dj180719_8478.pdf,"""petição inicial"" ""danos morais"" ""julgo parcialmente procedente"" filetype:pdf",Diário da Justiça,13,acao de indenizacao; ação de indenização; dano moral; danos morais; petição inicial; provimento ao recurso,ff093424e161287aa0bac041a93e5fde696851db5ae04023c9b99d9602e72caf
042-peticao-inicial-colombo-ac312b77.pdf,https://coisasdemacae.wordpress.com/wp-content/uploads/2011/03/petic3a7c3a3o-inicial-colombo.pdf,"""indenização por dano moral"" ""petição inicial"" ""procedência do pedido"" filetype:pdf",Petição inicial Colombo,16,acao de indenizacao; ação de indenização; dano moral; danos morais; petição inicial; procedencia do pedido; procedência do pedido,ac312b7781a910a23a6a02621eee43203f7f4f15e65f085c7e4234240a7ee295
043-xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx-qualificado-nos-autos-ca7078c7.pdf,https://www.migalhas.com.br/arquivos/2018/5/art20180530-12.pdf,"""indenização por dano moral"" ""petição inicial"" ""procedência do pedido"" filetype:pdf","XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX, qualificado nos autos...",17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,ca7078c710de2e9925407b40cee69f90c99595d8d15044783db40df8fc3bdb24
044-acordao---tjrj.jus.br-6576007c.pdf,https://www3.tjrj.jus.br/gedcacheweb/default.aspx?UZIP=1&GEDID=00048DC4CE91F080F4892709228AD16A3A46C5161A4D0720,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",ACÓRDÃO - tjrj.jus.br,13,dano moral; danos morais; julgo procedente; sentenca de procedencia; sentença de procedência,6576007ca7b0f60e4bbed87a563b10b64282d444a2ec4ba11c01a3ff2020e855
045-relatora-ministra-nancy-andrighi-advogados-isabela-braga-25263c45.pdf,https://www.conjur.com.br/wp-content/uploads/2024/07/STJ_202300647291_tipo_integra_251952405.pdf,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",RELATORA : MINISTRA NANCY ANDRIGHI ADVOGADOS : ISABELA BRAGA ...,11,acao de indenizacao; ação de indenização; dano moral; danos morais; provimento ao recurso,25263c45cac8e651c8c4faa034e83cf3e5dbe645aa55a470882625d8f064f711
046-tribunal-de-justica-de-minas-gerais---tjmg.jus.br-0c521b7c.pdf,https://www8.tjmg.jus.br/themis/baixaDocumento.do?tipo=1&numeroVerificador=10000230702045001202477664,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",Tribunal de Justiça de Minas Gerais - tjmg.jus.br,18,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo parcialmente procedente; provimento ao recurso,0c521b7cdb6730889612561b66dfd5c262745aa0de48732a854b6eb1613c6e84
047-acordaoapelacoes-civeis-n-49eb51a5.pdf,https://www.conjur.com.br/wp-content/uploads/2023/09/indenizacao-danos-morais-onibus1.pdf,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",Acórdãoapelações cíveis nº...,27,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo parcialmente procedente; julgo procedente; provimento ao recurso; sentenca de procedencia; sentença de procedência,49eb51a5a8957dba69b07597d2819305fd033892d390748b650f470dba4c41cd
048-numerodetokensnodocumento-18-9139ca98.pdf,https://www.migalhas.com.br/arquivos/2016/8/art20160823-05.pdf,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",<NÚMERODETOKENSNODOCUMENTO \18...,13,dano moral; danos morais; julgo procedente; sentenca de procedencia; sentença de procedência,9139ca986cc5f1ae904e0deaebb27c1647d5ed7a6ed0260bfe70ca51ad79f0fb
049-morais-ante-a-quebra-do-dever-de-caa7579a.pdf,https://www.maxwell.vrac.puc-rio.br/45729/45729.PDF,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",Morais ante a quebra do dever de,15,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; recurso provido,caa7579ac222ce23dade3cb16f1deb2cc5c88b4c40c02d9d61b3f8d3f93331ad
050-protocolo-f4c51aa0.pdf,https://www.pilotopolicial.com.br/wp-content/uploads/2018/08/SENTENÇA_-__Helicóptero.pdf,"""ação indenizatória"" ""dano moral"" ""julgo procedente"" filetype:pdf",PROTOCOLO,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; julgo procedente; petição inicial,f4c51aa0630ba76e771dfe9ceee40b494ef9246004b7e36ae0aa14c0b62558d5
051-o-valor-da-reparacao-moral-a-jurisprudencia-civel-prevalente-no-b1256c74.pdf,https://www.migalhas.com.br/arquivos/2021/7/6F09A9C84A406D_artigo1.pdf,"""ação de reparação por danos morais"" ""julgo procedente"" filetype:pdf",O VALOR DA REPARAÇÃO MORAL A JURISPRUDÊNCIA CÍVEL PREVALENTE NO,17,acao de indenizacao; ação de indenização; dano moral; danos morais; indenizacao por dano moral; indenização por dano moral; petição inicial; provimento ao recurso,b1256c74049cff84bbbf1b410cb781c0c790b4bc4e16ebcd329f76946bc6ff3e
